写景,山水,黄河,励志,哲理 白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
边塞 林暗草惊风，将军夜引弓。平明寻白羽，没在石棱中。
边塞,冬天,战争 月黑雁飞高，单于夜遁逃。欲将轻骑逐，大雪满弓刀。
边塞 野幕敞琼筵，羌戎贺劳旋。醉和金甲舞，雷鼓动山川。
写人 小姑织白纻，未解将人语。大嫂采芙蓉，溪湖千万重。长兄行不在，莫使外人逢。愿学秋胡妇，贞心比古松。
写景 临高台以轩，下有清水清且寒。江有香草目以兰，黄鹄高飞离哉翻。关弓射鹄，令我主寿万年。
抒情 三百六十日，日日醉如泥。虽为李白妇，何异太常妻。
咏物 橘柚垂华实，乃在深山侧。闻君好我甘，窃独自雕饰。委身玉盘中，历年冀见食。芳菲不相投，青黄忽改色。人倘欲我知，因君为羽翼。
写景,写人 赤阑桥尽香街直，笼街细柳娇无力。金碧上青空，花晴帘影红。黄衫飞白马，日日青楼下。醉眼不逢人，午香吹暗尘。
写景 万树江边杏，新开一夜风。满园深浅色，照在绿波中。
写景 一上高城万里愁，蒹葭杨柳似汀洲。溪云初起日沉阁，山雨欲来风满楼。鸟下绿芜秦苑夕，蝉鸣黄叶汉宫秋。行人莫问当年事，故国东来渭水流。
写景,咏史怀古 铁马云雕久绝尘，柳营高压汉营春。天清杀气屯关右，夜半妖星照渭滨。下国卧龙空寤主，中原逐鹿不由人。象床锦帐无言语，从此谯周是老臣。
写景 天际乌云含雨重，楼前红日照山明。嵩阳居士今安否，青眼看人万里情。
写景,抒情 夜到清溪宿，主人碧岩里。檐楹挂星斗，枕席响风水。月落西山时，啾啾夜猿起。
写景 已从招提游，更宿招提境。阴壑生虚籁，月林散清影。天阙象纬逼，云卧衣裳冷。欲觉闻晨钟，令人发深省。
写景 冷烛无烟绿蜡干，芳心犹卷怯春寒。一缄书札藏何事，会被东风暗拆看。
写景,抒情,思乡 长江远映青山，回首难穷望眼。扁舟来往蒹葭岸，烟锁云林又晚。篱边黄菊经霜暗，囊底青蚨逐日悭。破情思晚砧鸣，断愁肠檐马韵，惊客梦晓钟寒。归去难，修一缄回两字报平安。
写景 小榖城荒路屈盘，石根寒碧涨秋湾。千章秀木黄公庙，一点飞雪白塔山。好景落谁诗句里，蹇驴驮我画图间。膏肓泉石真吾事，莫厌乘兴数往还。
春天,写景 金钗影摇春燕斜，木杪生春叶。水塘春始波，火候春初热。土牛儿载将春到也。
写景 清于池水净于苔，会府潭潭暂作台。夜月半庭人未宿，春云满眼杏将开。榆关道路犹堪走，麟阁功勋岂易陪。莫信蓬莱相离远，塞鸿多自日边来。
写景 山白鸟忽鸣，石冷霜欲结。流泉得月光，化为一溪雪。
写景,抒情 浪动灌婴井，寻阳江上风。开帆入天镜，直向彭湖东。落景转疏雨，睛云散远空。名山发佳兴，清赏亦何穷？石镜挂遥月，香炉灭彩虹。相思俱对此，举目与君同。
写景 此地曾经翠辇过，浮云流水竟如何？香销南国美人尽，怨入东风芳草多。残柳宫前空露叶，夕阳川上浩烟波。行人遥起广陵思，古渡月明闻棹歌。
写景 孤村三两人家住，终日对野叟田父。说今朝绿水平桥，昨日溪南新雨。〔幺〕碧天边岩穴云归，白鹭一行飞去。便芒鞋竹杖行春，问底是青帘舞处？
写景 宿云散洲渚，晓日明村坞。高树临清池，风惊夜来雨。予心适无事，偶此成宾主。
写景,山水 轨息陆途初，枻鼓川路始。涟漪繁波漾，参差层峰峙。萧疏野趣生，逶迤白云起。登陟苦跋涉，䁹盼乐心耳。即玩玩有竭，在兴兴无已。
春天,写景 晴雪小园春未到，池边梅自早。高树鹊衔巢，斜月明寒草。山川风景好，自古金陵道，少年看却老。相逢莫厌醉金杯，别离多，欢会少。
写景,抒情 寺忆曾游处，桥怜再渡时。江山如有待，花柳自无私。野润烟光薄，沙暄日色迟。客愁全为减，舍此复何之？
写景 雨余春涧水争分，野雉双飞过古坟。眼见人家住深坞，梅花绕屋不开门。
写景 高阁逼诸天，登临近日边。晴开万井树，愁看五陵烟。槛外低秦岭，窗中小渭川。早知清净理，常愿奉金仙。
写景 北楼西望满晴空，积水连山胜画中。湍上急流声若箭，城头残月势如弓。垂竿已羡磻溪老，体道犹思塞上翁。为问边庭更何事，至今羌笛怨无穷。
春天,写景 松下柴门闭绿苔，只有蝴蝶双飞来。蜜蜂两股大如茧，应是前山花已开。
咏物,写山 中原一孤石，地理不知年。根含彭泽浪，顶入香炉烟。崖成二鸟翼，峰作一芙莲。何时发东武，今来镇蠡川。
咏物 绿阵连烟垠，风雨化精节。玉露含青紫，沁彻哲人心。
咏物 秋风揽辔下边城，万里河流绕骑清。樽俎试看酬壮节，壶觞到处迓行旌。寒骄强弩云传箭，飚转轻车火作营。慷慨十年长剑在，登楼一笑暮山横。
咏物 此君志欲擎天碧，耸出云头高百尺。只恐年深化作龙，一朝飞去不留迹。
咏物 擢擢当轩竹，青青重岁寒。心贞徒见赏，箨小未成竿。
咏物,抒情 可怜池内萍，葐蒀紫复青。巧随浪开合，能逐水低平。微根无所缀，细叶讵须茎？飘泊终难测，留连如有情。
咏物,柳树,抒情 大堤杨柳雨沉沉，万缕千条惹恨深。飞絮满天人去远，东风无力系春心。
咏物,抒情 一片琼英价动天，连城十二昔虚传。良工巧费真为累，楮叶成来不直钱。
咏物 当年得意如芳草。日日春风好。拔山力尽忽悲歌。饮罢虞兮从此、奈君何。人间不识精诚苦。贪看青青舞。蓦然敛袂却亭亭。怕是曲中犹带、楚歌声。
咏物 素蘤多蒙别艳欺，此花端合在瑶池。无情有恨何人觉？月晓风清欲堕时。
咏物 竹生荒野外，梢云耸百寻。无人赏高节，徒自抱贞心。耻染湘妃泪，羞入上宫琴。谁能制长笛，当为吐龙吟。
咏物 朱鹭，鱼以乌。路訾邪鹭何食？食茄下。不之食，不以吐，将以问诛者。
咏物 芳草和烟暖更青，闲门要路一时生。年年点检人间事，唯有春风不世情。
咏物,写水 晓风催我挂帆行，绿涨春芜岸欲平。长水塘南三日雨，菜花香过秀州城。
春天,写景 池上柳依依，柳边人掩扉。蝶随花片落，燕拂水纹飞。试数交游看，方惊笑语稀。一年春又尽，倚杖对斜晖。
春天,写景 青阳开动，根荄以遂，膏润并爱，跂行毕逮。霆声发荣，壧处顷听，枯槁复产，乃成厥命。众庶熙熙，施及夭胎，群生啿噬，惟春之祺。
春天,写景,忧国忧民 春岸桃花水，云帆枫树林。偷生长避地，适远更沾襟。老病南征日，君恩北望心。百年歌自苦，未见有知音。
春天,咏物 蚕老麦黄三月天，青山处处有啼鹃。断崖几树深如血，照水晴花暖欲然。三叹鹤林成梦寐，前生阆苑觅神仙。小山拄颐愁无奈，又怕声声聒夜眠。
春天,写景 开国维东井，城池起北辰。咸歌太平日，共乐建寅春。雪尽黄山树，冰开黑水津。草迎金埒马，花伴玉楼人。鸿渐看无数，莺歌听欲频。何当桂枝擢，还及柳条新。
夏天 炎威天气日偏长，汗湿轻罗倚画窗。蜂蝶不知春已去，又衔花瓣到兰房。
秋天,写景 螟虫喧暮色，默思坐西林。听雨寒更彻，开门落叶深。昔因京邑病，并起洞庭心。亦是吾兄事，迟回共至今。
秋天 二秋叶神媛，七夕望仙妃。影照河阳妓，色丽平津闱。鹊桥波里出，龙车霄外飞。露泫低珠佩，云移荐锦衣。更深黄月落，夜久靥星稀。空接灵台下，方恧辨支机。
冬天,写景 敛屦入寒竹，安禅过漏声。高松残子落，深井冻痕生。罢磬风枝动，悬灯雪屋明。何当招我宿，乘月上方行。
秋天,写雨 漠漠秋云起，稍稍夜寒生。但觉衣裳湿，无点亦无声。
写雨,写景,哲理 风驱急雨洒高城，云压轻雷殷地声。雨过不知龙去处，一池草色万蛙鸣。
秋天,写雨 江上阴云锁梦魂，江边深夜舞刘琨。秋风万里芙蓉国，暮雨千家薜荔村。乡思不堪悲橘柚，旅游谁肯重王孙。渔人相见不相问，长笛一声归岛门。
冬天,写雪 六出飞花入户时，坐看青竹变琼枝。如今好上高楼望，盖尽人间恶路岐。
写雪 登车宿迁北，万顷铺琼田。墨云淇水光，上下玻璃天。六花时时飘，集我车上毡。左右拍手笑，翁似日鹤仙。失却翁白髯，顿觉翁少年。
秋天,咏物,写花 长林众草入秋荒，独有幽姿逗晚香。每向风前堪寄傲，几因霜后欲留芳。名流赏鉴还堪佩，空谷知音品自扬。一种孤怀千古在，湘江词赋奏清商。
春天,写花 真宰偏饶丽景家，当春盘出带根霞。从开一朵朝衣色，免踏尘埃看杂花。
咏物,写花 绿玉枝头一粟黄，碧纱帐里梦魂香。晓风和月步新凉。吟倚画栏怀李贺，笑持玉斧恨吴刚。素娥不嫁为谁妆？
咏物,梅花 迎春故早发，独自不疑寒。畏落众花后，无人别意看。
咏物,梅花 春风试手先梅蕊，頩姿冷艳明沙水。不受众芳知，端须月与期。清香闲自远，先向钗头见。雪后燕瑶池，人间第一枝。
梅花 湘妃危立冻蛟脊，海月冷挂珊瑚枝。丑怪惊人能妩媚，断魂只有晓寒知。百千年藓著枯树，三两点春供老枝。绝壁笛声那得到，只愁斜日冻蜂知。
写景,荷花 青荷盖绿水，芙蓉披红鲜。下有并根藕，上有并头莲。
咏物,菊花 浅红淡白间深黄，簇簇新妆阵阵香。无限枝头好颜色，可怜开不为重阳。
咏物,菊花,抒情 苦竹园南椒坞边，微香冉冉泪涓涓。已悲节物同寒雁，忍委芳心与暮蝉。细路独来当此夕，清尊相伴省他年。紫云新苑移花处，不取霜栽近御筵。
写景,柳树 御柳如丝映九重，凤凰窗映绣芙蓉。景阳楼畔千条路，一面新妆待晓风。
柳树,写景,抒情 桥北桥南千百树，绿烟金穗映清流。青闺娟眼窥人过，翠染柔丝带雨稠。没幸章台成别恨，有情灞岸管离愁。塞垣多少思归客，留着长条赠远游。
柳树 二水中分异旧时，河洲株柳少人知。虬枝偃盖宜仙岛，碧干撑天入凤池。古木有缘归净土，章台无分集寒鸱。常随宝镫陪金勒，绝塞指挥万马嘶。
山水 巫山高，高以大；淮水深，难以逝。我欲东归，害梁不为？我集无高曳，水何梁汤汤回回。临水远望，泣下沾衣。远道之人心思归，谓之何！
月亮,山水 春岩瀑泉响，夜久山已寂。明月净松林，千峰同一色。
山水 吴山越山山下水，总是凄凉意。江流今古愁，山雨兴亡泪。沙鸥笑人闲未得。
山水,写景 陵阳佳地昔年游，谢脁青山李白楼。唯有日斜溪上思，酒旗风影落春流。
写景,山水 江中绿雾起凉波，天上叠巘红嵯峨。水风浦云生老竹，渚暝蒲帆如一幅。鲈鱼千头酒百斛，酒中倒卧南山绿。吴歈越吟未终曲，江上团团贴寒玉。
写景,山水 秋后亭皋木叶稀，霜前关塞雁南归。晓云散去山腰瘦，宿雨来时水面肥。吾老矣，久忘机，沙鸥相对不惊飞。柳溪父老应怜我，荒却溪南旧钓矶。
写山,写景 火山今始见，突兀蒲昌东。赤焰烧虏云，炎氛蒸塞空。不知阴阳炭，何独烧此中？我来严冬时，山下多炎风。人马尽汗流，孰知造化工！
写景,写山 结茅临水石，淡寂益闲吟。久雨寒蝉少，空山落叶深。危楼乘月上，远寺听钟寻。昨得江僧信，期来此息心。
写山 绕径寒云拂步生，巑岏青嶂压孤城。东连华岳三峰小，北拥萧关大漠平。山外烟霞闲隐见，世间尘土自虚盈。劳人至此深惆怅，樵唱悠悠何处声。
咏物,写山 西北天谁补？此山作柱擎。蟠根横远塞，设险压长城。俯瞰黄河小，高悬白雪清。曾从绝顶望，灏气接蓬瀛。
写山 峨峨东岳高，秀极冲青天。岩中间虚宇，寂寞幽以玄。非工复非匠，云构发自然。器象尔何物？遂令我屡迁。逝将宅斯宇，可以尽天年。
写山 蓝岑竦天壁，突兀如鲸额。奔蹙横澄潭，势吞落星石。沙带秋月明，水摇寒山碧。佳境宜缓棹，清辉能留客。恨君阻欢游，使我自惊惕。所期俱卜筑，结茅炼金液。
写水,写景 月晕天风雾不开，海鲸东蹙百川回。惊波一起三山动，公无渡河归去来。
秋天,长江 八月长江万里晴，千帆一道带风轻。尽日不分天水色，洞庭南是岳阳城。
黄河 明月黄河夜，寒沙似战场。奔流聒地响，平野到天荒。吴会书难达，燕台路正长。男儿少为客，不辨是他乡。
黄河,写景 洪波舣楫泛中流，凫淑鸥汀揽胜游。数点渔舟歌欸乃，诗情恍在白苹洲。
咏物,写鸟 海燕岁微渺，乘春亦暂来。岂知泥滓贱，只见玉堂开。绣户时双入，华堂日几回。无心与物竞，鹰隼莫相猜。
咏物,写鸟 早晚辞沙漠，南来处处飞。关山多雨雪，风水损毛衣。碧海魂应断，红楼信自稀。不知矰缴外，留得几行归。
写鸟 有鸟西南飞，熠熠似苍鹰。朝发天北隅，暮闻日南陵。欲寄一言去，托之笺彩缯。因风附轻翼，以遗心蕴蒸。鸟辞路悠长，羽翼不能胜。意欲从鸟逝，驽马不可乘。
咏物,写鸟 罩向金笼好羽仪，分明喉舌似君稀。不须一向随人语，须信人心有是非。
写风,田园,写景 石梁茅屋有弯碕，流水溅溅度两陂。晴日暖风生麦气，绿阴幽草胜花时。
秋天,田园 穷居寡人用，时忘四运周。门庭多落叶，慨然知已秋。新葵郁北牖，嘉穟养南畴。今我不为乐，知有来岁不？命室携童弱，良日登远游。
田园 嵯峨峰顶移家住，是个不唧溜樵父。烂柯时树老无花，叶叶枝枝风雨。故人曾唤我归来，却道不如休去。指门前万叠云山，是不费青蚨买处。
田园 贤人有素业，乃在沙塘陂。竹影扫秋月，荷衣落古池。闲读山海经，散帙卧遥帷。且耽田家乐，遂旷林中期。野酌劝芳酒，园蔬烹露葵。如能树桃李，为我结茅茨。
写景,田园 水香塘黑蒲森森，鸳鸯鸂鶒如家禽。前村后垄桑柘深，东邻西舍无相侵。蚕娘洗茧前溪渌，牧童吹笛和衣浴。山翁留我宿又宿，笑指西坡瓜豆熟。
